""		
""		Comisiones
Concepto	Intereses	Total y Gastos
""		
Estructura por Plazo	13,267.0	123.7 13,390.7
Largo Plazo	9,830.7	123.7 9,954.4
Corto Plazo	3,436.3	0.0 3,436.3
Estructura por Usuario	13,267.0	123.7 13,390.7
Gobierno Federal	8,668.3	123.5 8,791.8
Largo Plazo	5,675.9	123.5 5,799.4
Corto Plazo	2,992.4	0.0 2,992.4
Empresas Productivas del Estado 1_/	2,908.4	0.2 2,908.6
Largo Plazo	2,575.6	0.2 2,575.8
Corto Plazo	332.8	0.0 332.8
Banca de Desarrollo	1,690.3	0.0 1,690.3
Largo Plazo	1,579.2	0.0 1,579.2
Corto Plazo	111.1	0.0 111.1
Estructura por Fuente de Financiamiento	13,267.0	123.7 13,390.7
Emisión de Valores	8,443.9	79.8 8,523.7
Fondo de Ahorro S.A.R.	264.9	0.0 264.9
Banca Comercial	1,699.6	0.2 1,699.8
Obligaciones por Ley del ISSSTE 2_/	13.1	0.0 13.1
Bonos de Pensión PEMEX  3_/	1,644.1	0.0 1,644.1
Bonos de Pensión CFE  4_/	0.0	0.0 0.0
Otros	1,201.4	43.7 1,245.1
