""
""	. Ingresos presupuestarios			464,181.2			447,959.3			-7.5	
""											
""	Petroleros1_/	89,233.0	44,456.8	-52.3							
""	Gobierno Federal			37,320.2			46,697.7			19.9	
""	Pemex			51,912.9			-2,240.9			n.s.	
""	No petroleros			374,948.2			403,502.5			3.1	
""	Gobierno Federal			317,796.8			339,185.9			2.3	
""	Tributarios			298,217.0			318,497.4			2.3	
""	No tributarios			19,579.9			20,688.5			1.2	
""	Organismos de control presupuestario directo			30,323.3			33,158.3			4.8	
""	IMSS			26,979.7			28,902.1			2.6	
""	ISSSTE			3,343.6			4,256.2			22.0	
""	Empresa Productiva del Estado ( CFE )			26,828.0			31,158.4			11.3	
""	. Gasto neto pagado			490,458.4			506,709.1			-1.0	
""											
""	Programable	339,469.9	364,998.3	3.0							
""	Gasto de operación			148,259.3			148,463.9			-4.1	
""	Servicios personales2_/			99,094.7			98,101.2			-5.1	
""	Otros gastos de operación			49,164.6			50,362.6			-1.8	
""	Pensiones y jubilaciones			76,773.9			87,039.4			8.6	
""	Subsidios y transferencias y aportaciones3_/			43,070.4			43,493.9			-3.2	
""	Ayudas y otros gastos			8,133.4			5,837.3			-31.2	
""	Inversión física2_/			49,597.0			59,198.1			14.4	
""	Directo			34,184.6			41,716.9			16.9	
""	Indirecto			15,412.4			17,481.2			8.7	
""	Inversión financiera y otros 4_/			13,635.9			20,965.8			47.3	
""	No programable			150,988.5			141,710.8			-10.1	
""	Costo financiero			58,759.9			69,905.2			14.0	
""	Intereses, comisiones y gastos			39,591.4			41,281.2			-0.1	
""	Gobierno Federal			17,361.5			22,977.6			26.8	
""	Sector paraestatal			22,229.9			18,303.6			-21.1	
""	Apoyo a ahorradores y deudores			19,168.5			28,624.0			43.1	
""	IPAB			19,168.5			22,715.9			13.5	
""	Otros			0.0			5,908.2			n.s.	
""	Participaciones			69,368.8			71,514.3			-1.2	
""	Adefas y otros5_/			22,859.8			291.4			-98.8	
""	. Balance presupuestario (A – B)			-26,277.2			-58,749.8			n.s.	
""											
""	. Balance no presupuestario	5,858.3	16,014.5	161.9							
""	. Balance público (C + D) = (F + G)			-20,418.9			-42,735.3			n.s.	
""	alance público sin inversión6_/			28,913.9			16,360.5			-45.8	
""											
""	. Recursos externos	65,973.5	69,276.1	0.6							
""	. Recursos internos			-45,554.6			-26,540.8			n.s.	
""	artidas informativas										
""	Ingresos tributarios			298,217.0			318,497.4			2.3	
""	Ingresos no tributarios			165,964.3			129,461.9			-25.3	
