""		
""		Comisiones
Concepto	Intereses	Total y Gastos
""		
Estructura por Plazo	149,489.6	3,839.5 153,329.1
Largo Plazo	146,717.4	3,820.2 150,537.6
Corto Plazo	2,772.2	19.3 2,791.5
Estructura por Usuario	149,489.6	3,839.5 153,329.1
Gobierno Federal	147,082.8	3,811.0 150,893.8
Largo Plazo	144,509.7	3,811.0 148,320.7
Corto Plazo	2,573.1	0.0 2,573.1
Empresas Productivas del Estado 1_/	1,333.9	28.5 1,362.4
Largo Plazo	1,206.7	9.2 1,215.9
Corto Plazo	127.2	19.3 146.5
Banca de Desarrollo	1,072.9	0.0 1,072.9
Largo Plazo	1,001.0	0.0 1,001.0
Corto Plazo	71.9	0.0 71.9
Estructura por Fuente de Financiamiento	149,489.6	3,839.5 153,329.1
Emisión de Valores	148,471.5	3,774.8 152,246.3
Fondo de Ahorro S.A.R.	269.4	0.0 269.4
Banca Comercial	489.9	19.3 509.2
Obligaciones por Ley del ISSSTE 2_/	0.0	0.0 0.0
Bonos de Pensión PEMEX  3_/	0.0	0.0 0.0
Bonos de Pensión CFE  4_/	0.0	0.0 0.0
Otros	258.8	45.4 304.2
