
""	A. Ingresos presupuestarios			405,014.9			442,585.7			5.1						1,259,408.1			1,295,433.4			-1.2	
""																							
""	Petroleros1_/	77,807.7	73,576.	-9.1		228,328.9	179,034.4	-24.7															
""	Gobierno Federal			42,158.1			33,923.7			-22.6						124,714.3			114,873.9			-11.5	
""	Pemex			35,649.6			39,652.3			6.9						103,614.7			64,160.5			-40.5	
""	No petroleros			327,207.2			369,009.7			8.4						1,031,079.2			1,116,399.0			4.0	
""	Gobierno Federal			273,617.0			304,007.2			6.8						851,324.7			923,535.0			4.2	
""	Tributarios			247,839.1			280,244.			8.7						784,411.7			857,996.4			5.1	
""	No tributarios			25,777.9			23,762.3			-11.4						66,913.0			65,538.6			-5.9	
""	Organismos de control presupuestario directo			31,927.4			33,948.			2.2						93,396.8			99,011.4			1.8	
""	IMSS			28,353.0			30,981.2			5.						82,226.5			89,634.0			4.7	
""	ISSSTE			3,574.4			2,967.1			-20.2						11,170.3			9,377.4			-19.4	
""	Empresa Productiva del Estado ( CFE )			21,662.9			31,054.1			37.8						86,357.6			93,852.6			4.4	
""	B. Gasto neto pagado			442,027.5			446,662.9			-2.8						1,376,777.9			1,345,414.1			-6.1	
""																							
""	Programable	332,189.9	335,127.	-3.0		972,846.7	962,427.5	-5.0															
""	Gasto de operación			140,670.2			144,621.3			-1.1						407,389.4			414,750.2			-2.2	
""	Servicios personales2_/			90,315.8			90,926.			-3.2						269,262.0			270,067.9			-3.7	
""	Otros gastos de operación			50,354.4			53,695.3			2.5						138,127.4			144,682.3			0.6	
""	Pensiones y jubilaciones			63,475.4			64,916.3			-1.7						202,371.9			219,345.1			4.1	
""	Subsidios y transferencias y aportaciones3_/			68,098.2			69,560.1			-1.8						176,191.7			150,983.8			-17.7	
""	Ayudas y otros gastos			-75.4			1,524.			n.s.						13,029.4			4,987.2			-63.2	
""	Inversión física2_/			56,845.9			43,849.7			-25.8						155,820.1			140,953.8			-13.1	
""	Directo			23,841.7			17,262.1			-30.4						80,291.8			78,736.0			-5.8	
""	Indirecto			33,004.3			26,587.5			-22.5						75,528.3			62,217.8			-20.9	
""	Inversión financiera y otros 4_/			3,175.6			10,655.7			222.6						18,044.1			31,407.4			67.2	
""	No programable			109,837.6			111,535.2			-2.4						403,931.2			382,986.6			-8.9	
""	Costo financiero			43,920.5			44,227.			-3.2						125,682.9			138,830.8			6.1	
""	Intereses, comisiones y gastos			43,920.5			44,227.			-3.2						106,514.4			110,206.8			-0.6	
""	Gobierno Federal			23,745.0			25,373.1			2.7						51,802.4			61,872.8			14.7	
""	Sector paraestatal			20,175.5			18,854.			-10.1						54,712.1			48,333.9			-15.1	
""	Apoyo a ahorradores y deudores			0.0			0.			n.s.						19,168.5			28,624.0			43.4	
""	IPAB			0.0			0.			n.s.						19,168.5			22,715.9			13.8	
""	Otros			0.0			0.			n.s.						0.0			5,908.2			n.s.	
""	Participaciones			65,741.9			70,087.7			2.5						210,464.0			232,290.5			6.0	
""	Adefas y otros5_/			175.1			-2,780.5			n.s.						67,784.3			11,865.3			-83.2	
""	C. Balance presupuestario (A – B)			-37,012.6			-4,077.			n.s.						-117,369.8			-49,980.7			n.s.	
""																							
""	D. Balance no presupuestario	12,879.4	7,220.	-46.1		25,432.4	25,497.9	-3.7															
""	E. Balance público (C + D) = (F + G)			-24,133.2			3,143.6			n.s.						-91,937.3			-24,482.8			n.s.	
""	Balance público sin inversión6_/			32,219.3			46,963.			40.1						62,812.6			116,288.2			77.8	
""																							
""	F. Recursos externos	12,240.4	519.1	-95.9		110,103.4	89,922.6	-21.5															
""	G. Recursos internos			11,892.8			-3,662.			n.s.						-18,166.1			-65,439.8			n.s.	
""	Partidas informativas																						
""	Ingresos tributarios			247,839.1			280,244.			8.7						784,411.7			857,996.4			5.1	
""	Ingresos no tributarios			157,175.8			162,340.8			-0.7						474,996.4			437,437.0			-11.5	
