""		
""	SITUACIÓN FINANCIERA DEL SECTOR PÚBLICO	
""	(Millones de pesos)	
""	Diciembre Enero-diciembre	
Concepto	Crec. 2018 2019p_/ Crec. 2018 2019p_/	
""	real %	real %
""		
A. Ingresos presupuestarios	458,980.4 543,159.6 15.1 5,115,111.1 5,384,289.1	1.6
Petroleros1_/	93,046.0 121,030.0 26.5 978,368.7 955,054.9	-5.8
Gobierno Federal	47,084.1 33,976.3 -29.8 541,747.2 431,922.8	-23.1
Pemex2_/	45,961.9 87,053.8 84.2 436,621.5 523,132.1	15.6
No petroleros	365,934.4 422,129.5 12.2 4,136,742.4 4,429,234.2	3.3
Gobierno Federal	282,315.2 336,893.4 16.1 3,329,879.7 3,574,157.3	3.6
Tributarios	271,536.6 281,129.3 0.7 3,062,334.2 3,202,623.7	0.9
No tributarios	10,778.6 55,764.2 403.1 267,545.5 371,533.6	34.0
Organismos de control presupuestario directo	36,221.0 44,988.0 20.8 398,027.0 426,550.8	3.4
IMSS	30,132.2 39,388.2 27.1 345,395.3 381,534.8	6.6
ISSSTE	6,088.7 5,599.8 -10.6 52,631.7 45,015.9	-17.5
Empresa Productiva del Estado ( CFE )	47,398.3 40,248.1 -17.4 408,835.7 428,526.1	1.1
B. Gasto neto pagado	623,052.5 729,401.0 13.8 5,589,351.3 5,786,429.3	-0.1
Programable	398,167.0 490,786.6 19.9 4,064,660.8 4,226,487.9	0.3
Gasto de operación	221,858.2 269,048.3 17.9 1,864,061.4 1,868,223.4	-3.3
Servicios personales3_/	166,543.4 186,265.6 8.8 1,212,872.1 1,216,063.3	-3.3
Otros gastos de operación	55,314.8 82,782.7 45.5 651,189.3 652,160.2	-3.4
Pensiones y jubilaciones	43,937.0 59,086.6 30.8 792,663.9 876,940.6	6.8
Subsidios y transferencias y aportaciones4_/	41,614.6 78,963.2 84.5 645,469.2 712,832.5	6.6
Ayudas y otros gastos	2,324.6 6,905.3 188.9 39,231.7 37,428.6	-7.9
Inversión física3_/	49,265.5 57,712.4 13.9 617,675.8 564,467.7	-11.8
Directo	39,416.7 41,835.5 3.2 346,701.6 327,448.3	-8.9
Indirecto	9,848.8 15,876.9 56.8 270,974.3 237,019.4	-15.6
Inversión financiera y otros 2_/ 5_/	39,167.2 19,070.7 -52.6 105,558.8 166,595.1	52.3
No programable	224,885.5 238,614.4 3.2 1,524,690.5 1,559,941.4	-1.3
Costo financiero	161,702.6 167,313.7 0.6 615,040.6 666,478.1	4.6
Intereses, comisiones y gastos	161,702.6 167,313.7 0.6 576,872.1 615,138.2	2.9
Gobierno Federal	147,102.3 153,946.1 1.8 428,929.7 474,283.1	6.7
Sector paraestatal	14,600.3 13,367.6 -11.0 147,942.4 140,855.2	-8.1
Apoyo a ahorradores y deudores	0.0 0.0 n.s. 38,168.5 51,339.9	29.8
IPAB	0.0 0.0 n.s. 38,168.5 45,431.7	14.9
Otros	0.0 0.0 n.s. 0.0 5,908.2	n.s.
Participaciones	67,231.8 66,805.6 -3.4 844,045.2 878,924.5	0.5
Adefas y otros6_/	-4,048.9 4,495.1 n.s. 65,604.7 14,538.7	-78.6
C. Balance presupuestario (A – B)	-164,072.1 -186,241.4 n.s. -474,240.2 -402,140.2	n.s.
D. Balance no presupuestario	-14,835.6 -44,942.2 n.s. -20,741.7 3,784.2	n.s.
E. Balance público (C + D) = (F + G)	-178,907.7 -231,183.7 n.s. -494,981.9 -398,356.0	n.s.
Balance público sin inversión7_/	-133,686.7 -176,590.3 n.s. -25,151.7 88,064.0	n.s.
F. Recursos externos	-2,137.6 -47,909.4 n.s. 167,391.3 56,742.4	-67.3
G. Recursos internos	181,045.3 279,093.1 49.9 327,590.6 341,613.6	0.6
Partidas informativas		
Ingresos tributarios	271,536.6 281,128.1 0.7 3,062,334.0 3,202,650.7	0.9
Ingresos no tributarios	187,443.8 262,031.5 35.9 2,052,777.1 2,181,638.4	2.5
