""		
""		Comisiones
Concepto	Intereses	Total y Gastos
""		
Estructura por Plazo	11,583.6	138.3 11,721.9
Largo Plazo	7,398.1	138.3 7,536.4
Corto Plazo	4,185.5	0.0 4,185.5
Estructura por Usuario	11,583.6	138.3 11,721.9
Gobierno Federal	9,762.6	131.6 9,894.2
Largo Plazo	6,067.0	131.6 6,198.6
Corto Plazo	3,695.6	0.0 3,695.6
Empresas Productivas del Estado 1_/	1,001.0	6.7 1,007.7
Largo Plazo	555.5	6.7 562.2
Corto Plazo	445.5	0.0 445.5
Banca de Desarrollo	820.0	0.0 820.0
Largo Plazo	775.6	0.0 775.6
Corto Plazo	44.4	0.0 44.4
Estructura por Fuente de Financiamiento	11,583.6	138.3 11,721.9
Emisión de Valores	10,291.1	86.8 10,377.9
Fondo de Ahorro S.A.R.	291.8	0.0 291.8
Banca Comercial	706.9	0.0 706.9
Obligaciones por Ley del ISSSTE 2_/	23.3	0.0 23.3
Bonos de Pensión PEMEX  3_/	0.0	0.0 0.0
Bonos de Pensión CFE  4_/	0.0	0.0 0.0
Otros	270.5	51.5 322.0
