Estructura por Plazo	13,116.3	219.5	13,335.8
Largo Plazo	9,407.7	219.5	9,627.2
Corto Plazo	3,708.6	0.0	3,708.6
Estructura por Usuario	13,116.3	219.5	13,335.8
Gobierno Federal	7,944.8	144.4	8,089.2
Largo Plazo	4,507.1	144.4	4,651.5
Corto Plazo	3,437.7	0.0	3,437.7
Empresas Productivas del Estado 1_/	3,968.4	75.1	4,043.5
Largo Plazo	3,825.8	75.1	3,900.9
Corto Plazo	142.6	0.0	142.6
Banca de Desarrollo	1,203.1	0.0	1,203.1
Largo Plazo	1,074.8	0.0	1,074.8
Corto Plazo	128.3	0.0	128.3
Estructura por Fuente de Financiamiento	13,116.3	219.5	13,335.8
Emisión de Valores	12,035.9	101.8	12,137.7
Fondo de Ahorro S.A.R.	255.2	0.0	255.2
Banca Comercial	509.6	70.9	580.5
Obligaciones por Ley del ISSSTE 2_/	0.0	0.0	0.0
Bonos de Pensión PEMEX  3_/	0.0	0.0	0.0
Bonos de Pensión CFE  4_/	0.0	0.0	0.0
Otros	315.6	46.8	362.4
