""			
""		Comisiones y Gastos	
Concepto	Intereses	De	Total
""		Compromiso	
""		Otras	
""			
Estructura por Plazo	1,356.8	0.1 34.2	1,391.1
Largo Plazo	1,351.5	0.1 34.2	1,385.8
Corto Plazo	5.3	0.0 0.0	5.3
Estructura por Usuario	1,356.8	0.1 34.2	1,391.1
Gobierno Federal	564.3	0.1 15.1	579.5
Empresas Productivas del Estado 1_/	771.3	0.0 19.1	790.4
Banca de Desarrollo	21.2	0.0 0.0	21.2
Estructura por Fuente de Financiamiento	1,356.8	0.1 34.2	1,391.1
Mercado de Capitales	1,196.6	0.0 25.3	1,221.9
Organismos Financieros Internacionales (OFI’s)	93.8	0.1 0.8	94.7
Comercio Exterior	8.5	0.0 8.0	16.5
Mercado Bancario	28.7	0.0 0.1	28.8
Pidiregas	29.2	0.0 0.0	29.2
