"","Concepto","Intereses","Total","Gastos de compromiso","Otras comisiones"
"1","Banca de Desarrollo","31.5","31.5","0.0","0.0"
"2","Comercio Exterior","3.4","3.6","0.0","0.2"
"3","Corto Plazo","4.4","4.4","0.0","0.0"
"4","Empresas Productivas del Estado 1_/","631.5","688.2","2.4","54.3"
"5","Estructura por Fuente de Financiamiento","1,004.6","1,069.1","2.4","62.1"
"6","Estructura por Plazo","1,004.6","1,069.1","2.4","62.1"
"7","Estructura por Usuario","1,004.6","1,069.1","2.4","62.1"
"8","Gobierno Federal","341.6","349.4","0.0","7.8"
"9","Largo Plazo","1,000.2","1,064.7","2.4","62.1"
"10","Mercado Bancario","29.9","32.3","2.4","0.0"
"11","Mercado de Capitales","901.2","961.9","0.0","60.7"
"12","Organismos Financieros Internacionales (OFIâ€™s)","67.3","68.5","0.0","1.2"
"13","Pidiregas","2.8","2.8","0.0","0.0"
