"","Concepto","Intereses","Total","Gastos de compromiso","Otras comisiones"
"1","Banca de Desarrollo","11.9","11.9","0.0","0.0"
"2","Comercio Exterior","4.4","4.8","0.0","0.4"
"3","Corto Plazo","1.7","1.7","0.0","0.0"
"4","Empresas Productivas del Estado 1_/","614.4","625.9","11.2","0.3"
"5","Estructura por Fuente de Financiamiento","1,116.6","1,134.8","11.2","7.0"
"6","Estructura por Plazo","1,116.6","1,134.8","11.2","7.0"
"7","Estructura por Usuario","1,116.6","1,134.8","11.2","7.0"
"8","Gobierno Federal","490.3","497.0","0.0","6.7"
"9","Largo Plazo","1,114.9","1,133.1","11.2","7.0"
"10","Mercado Bancario","52.7","63.9","11.2","0.0"
"11","Mercado de Capitales","994.0","1,000.2","0.0","6.2"
"12","Organismos Financieros Internacionales (OFIâ€™s)","30.7","31.1","0.0","0.4"
"13","Pidiregas","34.8","34.8","0.0","0.0"
