"","Concepto","Intereses","Total","Gastos de compromiso","Otras comisiones"
"1","Banca de Desarrollo","34.6","34.8","0.2","0.0"
"2","Comercio Exterior","13.9","14.0","0.0","0.1"
"3","Corto Plazo","6.8","6.8","0.0","0.0"
"4","Empresas Productivas del Estado 1_/","186.0","187.0","0.9","0.1"
"5","Estructura por Fuente de Financiamiento","334.9","337.2","1.1","1.2"
"6","Estructura por Plazo","334.9","337.2","1.1","1.2"
"7","Estructura por Usuario","334.9","337.2","1.1","1.2"
"8","Gobierno Federal","114.3","115.4","0.0","1.1"
"9","Largo Plazo","328.1","330.4","1.1","1.2"
"10","Mercado Bancario","29.9","30.8","0.9","0.0"
"11","Mercado de Capitales","171.3","171.4","0.0","0.1"
"12","Organismos Financieros Internacionales (OFIâ€™s)","112.8","114.0","0.2","1.0"
"13","Pidiregas","7.0","7.0","0.0","0.0"
