"","Concepto","Intereses","Total","Gastos de compromiso","Otras comisiones"
"1","Banca de Desarrollo","42.3","42.3","0.0","0.0"
"2","Comercio Exterior","0.6","0.6","0.0","0.0"
"3","Corto Plazo","12.5","12.5","0.0","0.0"
"4","Empresas Productivas del Estado 1_/","162.5","166.2","3.6","0.1"
"5","Estructura por Fuente de Financiamiento","701.7","718.1","4.8","11.6"
"6","Estructura por Plazo","701.7","718.1","4.8","11.6"
"7","Estructura por Usuario","701.7","718.1","4.8","11.6"
"8","Gobierno Federal","496.9","509.6","1.2","11.5"
"9","Largo Plazo","689.2","705.6","4.8","11.6"
"10","Mercado Bancario","33.4","37.0","3.6","0.0"
"11","Mercado de Capitales","501.7","511.5","0.0","9.8"
"12","Organismos Financieros Internacionales (OFIâ€™s)","160.1","163.1","1.2","1.8"
"13","Pidiregas","5.9","5.9","0.0","0.0"
