"","Concepto","Intereses","Total","Gastos de compromiso","Otras comisiones"
"1","Banca de Desarrollo","21.2","21.2","0.0","0.0"
"2","Comercio Exterior","8.5","16.5","0.0","8.0"
"3","Corto Plazo","5.3","5.3","0.0","0.0"
"4","Empresas Productivas del Estado 1_/","771.3","790.4","0.0","19.1"
"5","Estructura por Fuente de Financiamiento","1,356.8","1,391.1","0.1","34.2"
"6","Estructura por Plazo","1,356.8","1,391.1","0.1","34.2"
"7","Estructura por Usuario","1,356.8","1,391.1","0.1","34.2"
"8","Gobierno Federal","564.3","579.5","0.1","15.1"
"9","Largo Plazo","1,351.5","1,385.8","0.1","34.2"
"10","Mercado Bancario","28.7","28.8","0.0","0.1"
"11","Mercado de Capitales","1,196.6","1,221.9","0.0","25.3"
"12","Organismos Financieros Internacionales (OFIâ€™s)","93.8","94.7","0.1","0.8"
"13","Pidiregas","29.2","29.2","0.0","0.0"
