"","2017","2018","Concepto","Variacion"
"1","376,541.9","436,876.2","Ingresos Presupuestarios",13.810388389205
"2","65,591.0","87,286.8","Petroleros",24.8557628415751
"3","31,999.2","42,263.2","Petroleros_GobFed",24.2859035756876
"4","33,591.8","45,023.6","Petroleros_Pemex",25.3906839968372
"5","310,950.9","349,589.5","NoPetroleros",11.0525630775524
"6","249,262.4","275,743.0","NoPetroleros_GobFed",9.60336255136123
"7","218,520.2","245,210.0","NoPetroleros_GobFed_Tributarios",10.8844663757595
"8","30,742.2","30,533.0","NoPetroleros_GobFed_NoTributarios",-0.685160318344089
"9","31,565.0","34,531.3","NoPetroleros_OrgDeControl",8.59017760698266
"10","26,836.5","29,796.9","NoPetroleros_OrgDeControl_IMSS",9.93526172185697
"11","4,728.5","4,734.4","NoPetroleros_OrgDeControl_ISSTE",0.124619803987826
"12","30,123.6","39,315.1","No_Petroleros_CFE",23.3790579192219
"13","387,642.1","467,117.6","Gasto neto pagado",17.0140238774989
"14","318,923.1","380,941.7","Programable",16.2803389600036
"15","161,049.7","188,010.6","Gasto de operación",14.3400957180074
"16","115,154.8","123,122.3","Servicios Personales",6.47120789653864
"17","45,894.9","64,888.3","Otros gastos de operación",29.2709163285215
"18","74,826.0","103,466.0","Pensiones y Jubilaciones",27.6805907254557
"19","57,135.6","42,758.8","Subsidios y transferencias",-33.6230202905601
"20","-10,480.9","7,931.7","Ayudas y otros gastos",232.139390042488
"21","39,785.4","41,032.1","Inversión física",3.03835289931541
"22","24,483.9","28,149.5","Inversión_física_directa",13.0219009218636
"23","15,301.4","12,882.6","Inversión_física_indirecta",-18.775712977194
"24","-3,392.7","-2,257.4","Inversión financiera y otras",-50.2923717551165
"25","68,719.0","86,175.9","No programable",20.2572877103691
"26","15,559.6","15,227.1","Costo financiero",-2.18360685882407
"27","15,559.6","15,227.1","Intereses comisiones y gastos",-2.18360685882407
"28","8,374.1","8,122.1","Intereses_gobFed",-3.10264586744807
"29","7,185.5","7,105.0","Intereses_paraestatal",-1.13300492610837
"30","0.0","0.0","Apoyo a ahorradores",NA
"31","0.0","0.0","IPAB",NA
"32","0.0","0.0","Otros",NA
"33","58,328.7","68,042.2","Participaciones",14.2756994923739
"34","-5,169.2","2,906.6","Adefas",277.843528521296
"35","-11,100.1","-30,241.4","Balance (A-B)",63.295019410477
"36","-27,713.4","-10,664.3","Balance no presupuestario",-159.870783830162
"37","-38,813.5","-40,905.7","Balance pùblico",5.11469061768897
"38","-13,952.6","-1,386.1","Balance público sin inversión",-906.608469807373
"39","-34,284.8","-5,527.0","Recursos externos",-520.31481816537
"40","73,098.3","46,432.7","Recursos internos",-57.4284932816743
"41","212,989.4","245,210.0","Ingresos tributarios",13.1400024468823
"42","163,552.6","191,666.2","Ingresos no tributarios",14.6680009307849
